airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0_15,all_n_16_30,all_n_31_45,all_n_46_60,all_n_61_90,all_n_91_120,all_n_120_plus,all_excluded,all_total,all_flights,all_booths
ORD,Terminal 5,2021-10-24,0600 - 0700,4,17,13,18,7,18,103,16,0,0,0,0,0,2,121,1,14
ORD,Terminal 5,2021-10-24,0800 - 0900,8,36,17,38,13,38,377,153,40,0,0,0,0,24,594,4,13
ORD,Terminal 5,2021-10-24,1000 - 1100,1,6,2,6,1,6,110,0,0,0,0,0,0,3,113,1,12
ORD,Terminal 5,2021-10-24,1100 - 1200,9,20,9,16,9,20,181,16,0,0,0,0,0,5,202,1,12
ORD,Terminal 5,2021-10-24,1200 - 1300,12,34,12,32,12,34,600,316,47,0,0,0,0,30,993,6,22
ORD,Terminal 5,2021-10-24,1300 - 1400,10,49,21,52,13,52,354,44,78,21,0,0,0,18,515,4,22
ORD,Terminal 5,2021-10-24,1400 - 1500,14,37,10,37,13,37,459,207,60,0,0,0,0,17,743,5,21
ORD,Terminal 5,2021-10-24,1500 - 1600,27,68,31,69,28,69,259,295,386,111,27,0,0,29,1107,7,19
ORD,Terminal 5,2021-10-24,1600 - 1700,28,50,28,46,28,50,57,95,131,24,0,0,0,9,316,2,15
ORD,Terminal 5,2021-10-24,1700 - 1800,15,43,19,42,16,43,394,358,93,0,0,0,0,27,872,6,16
ORD,Terminal 5,2021-10-24,1800 - 1900,13,34,8,34,13,34,209,88,4,0,0,0,0,5,306,2,13
ORD,Terminal 5,2021-10-24,1900 - 2000,13,28,14,29,13,29,421,268,0,0,0,0,0,17,706,4,17
ORD,Terminal 5,2021-10-24,2000 - 2100,6,15,5,14,6,15,297,0,0,0,0,0,0,9,306,2,16
ORD,Terminal 5,2021-10-24,2100 - 2200,5,14,7,14,5,14,587,0,0,0,0,0,0,9,596,3,17
ORD,Terminal 5,2021-10-24,2200 - 2300,14,33,17,33,15,33,169,121,19,0,0,0,0,3,312,2,12
ORD,Terminal 5,2021-10-24,2300 - 0000,17,49,21,49,18,49,187,131,72,14,0,0,0,12,416,3,9
ORD,Terminal 5,2021-10-25,0000 - 0100,16,33,20,37,17,37,82,159,11,0,0,0,0,16,268,2,11
